timestamp	metric	scope	numerator	denominator	percentage	prior_percentage	delta_pp	evidence	head
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 0			75.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 1			80.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 2			70.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 3			75.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 4			85.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 5			65.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 6			80.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 7			50.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 8			80.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 9			60.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 10			55.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 11			65.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 12			40.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 13			70.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 14			35.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 15			40.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 16			30.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
2026-07-29T00:00:00Z	legacy-mixed-baseline	Phase 17			25.0000			AGENTS.md locked original baseline; not comparable to code-base-obligation	
